Date Tim	"e	Temperatu"	e  (*C)
9/7/2008	17:00	6.44
9/7/2008	17:00	6.44
9/7/2008	17:00	6.44
9/7/2008	17:01	6.44
9/7/2008	17:01	6.44
9/7/2008	17:01	6.44
9/7/2008	17:01	6.44
9/7/2008	17:01	6.44
9/7/2008	17:01	6.44
9/7/2008	17:02	6.44
9/7/2008	17:02	6.44
9/7/2008	17:02	6.44
9/7/2008	17:02	6.44
9/7/2008	17:02	6.44
9/7/2008	17:02	6.44
9/7/2008	17:03	6.44
9/7/2008	17:03	6.44
9/7/2008	17:03	6.44
9/7/2008	17:03	6.44
9/7/2008	17:03	6.44
9/7/2008	17:03	6.44
9/7/2008	17:04	6.44
9/7/2008	17:04	6.44
9/7/2008	17:04	6.44
9/7/2008	17:04	6.44
9/7/2008	17:04	6.44
9/7/2008	17:04	6.44
9/7/2008	17:05	6.44
9/7/2008	17:05	6.44
9/7/2008	17:05	6.44
9/7/2008	17:05	6.44
9/7/2008	17:05	6.44
9/7/2008	17:05	6.44
9/7/2008	17:06	6.44
9/7/2008	17:06	6.44
9/7/2008	17:06	6.44
9/7/2008	17:06	6.44
9/7/2008	17:06	6.44
9/7/2008	17:06	6.44
9/7/2008	17:07	6.44
9/7/2008	17:07	6.44
9/7/2008	17:07	6.44
9/7/2008	17:07	6.44
9/7/2008	17:07	6.44
9/7/2008	17:07	6.44
9/7/2008	17:08	6.44
9/7/2008	17:08	6.44
9/7/2008	17:08	6.44
9/7/2008	17:08	6.44
9/7/2008	17:08	6.44
9/7/2008	17:08	6.44
9/7/2008	17:09	6.44
9/7/2008	17:09	6.44
9/7/2008	17:09	6.44
9/7/2008	17:09	6.44
9/7/2008	17:09	6.44
9/7/2008	17:09	6.44
9/7/2008	17:10	6.44
9/7/2008	17:10	6.44
9/7/2008	17:10	6.44
9/7/2008	17:10	6.44
9/7/2008	17:10	6.44
9/7/2008	17:10	6.44
9/7/2008	17:11	6.44
9/7/2008	17:11	6.44
9/7/2008	17:11	6.44
9/7/2008	17:11	6.44
9/7/2008	17:11	6.44
9/7/2008	17:11	6.44
9/7/2008	17:12	6.44
9/7/2008	17:12	6.44
9/7/2008	17:12	6.44
9/7/2008	17:12	6.44
9/7/2008	17:12	6.44
9/7/2008	17:12	6.44
9/7/2008	17:13	6.44
9/7/2008	17:13	6.44
9/7/2008	17:13	6.44
9/7/2008	17:13	6.44
9/7/2008	17:13	6.44
9/7/2008	17:13	6.44
9/7/2008	17:14	6.44
9/7/2008	17:14	6.44
9/7/2008	17:14	6.44
9/7/2008	17:14	6.44
9/7/2008	17:14	6.44
9/7/2008	17:14	6.44
9/7/2008	17:15	6.44
9/7/2008	17:15	6.44
9/7/2008	17:15	6.44
9/7/2008	17:15	6.44
9/7/2008	17:15	6.44
9/7/2008	17:15	6.44
9/7/2008	17:16	6.44
9/7/2008	17:16	6.44
9/7/2008	17:16	6.44
9/7/2008	17:16	6.44
9/7/2008	17:16	6.44
9/7/2008	17:16	6.44
9/7/2008	17:17	6.44
9/7/2008	17:17	6.44
9/7/2008	17:17	6.44
9/7/2008	17:17	6.44
9/7/2008	17:17	6.44
9/7/2008	17:17	6.44
9/7/2008	17:18	6.44
9/7/2008	17:18	6.44
9/7/2008	17:18	6.44
9/7/2008	17:18	6.44
9/7/2008	17:18	6.44
9/7/2008	17:18	6.44
9/7/2008	17:19	6.44
9/7/2008	17:19	6.44
9/7/2008	17:19	6.44
9/7/2008	17:19	6.44
9/7/2008	17:19	6.44
9/7/2008	17:19	6.44
9/7/2008	17:20	6.44
9/7/2008	17:20	6.44
9/7/2008	17:20	6.44
9/7/2008	17:20	6.44
9/7/2008	17:20	6.44
9/7/2008	17:20	6.44
9/7/2008	17:21	6.44
9/7/2008	17:21	6.44
9/7/2008	17:21	6.44
9/7/2008	17:21	6.44
9/7/2008	17:21	6.44
9/7/2008	17:21	6.44
9/7/2008	17:22	6.44
9/7/2008	17:22	6.44
9/7/2008	17:22	6.44
9/7/2008	17:22	6.44
9/7/2008	17:22	6.44
9/7/2008	17:22	6.44
9/7/2008	17:23	6.44
9/7/2008	17:23	6.44
9/7/2008	17:23	6.44
9/7/2008	17:23	6.44
9/7/2008	17:23	6.44
9/7/2008	17:23	6.44
9/7/2008	17:24	6.44
9/7/2008	17:24	6.44
9/7/2008	17:24	6.44
9/7/2008	17:24	6.44
9/7/2008	17:24	6.44
9/7/2008	17:24	6.44
9/7/2008	17:25	6.44
9/7/2008	17:25	6.44
9/7/2008	17:25	6.44
9/7/2008	17:25	6.44
9/7/2008	17:25	6.44
9/7/2008	17:25	6.44
9/7/2008	17:26	6.44
9/7/2008	17:26	6.44
9/7/2008	17:26	6.44
9/7/2008	17:26	6.44
9/7/2008	17:26	6.44
9/7/2008	17:26	6.44
9/7/2008	17:27	6.44
9/7/2008	17:27	6.44
9/7/2008	17:27	6.44
9/7/2008	17:27	6.44
9/7/2008	17:27	6.44
9/7/2008	17:27	6.44
9/7/2008	17:28	6.44
9/7/2008	17:28	6.44
9/7/2008	17:28	6.44
9/7/2008	17:28	6.44
9/7/2008	17:28	6.44
9/7/2008	17:28	6.44
9/7/2008	17:29	6.44
9/7/2008	17:29	6.44
9/7/2008	17:29	6.44
9/7/2008	17:29	6.44
9/7/2008	17:29	6.44
9/7/2008	17:29	6.44
9/7/2008	17:30	6.44
9/7/2008	17:30	6.44
9/7/2008	17:30	6.44
9/7/2008	17:30	6.44
9/7/2008	17:30	6.44
9/7/2008	17:30	6.44
9/7/2008	17:31	6.44
9/7/2008	17:31	6.44
9/7/2008	17:31	6.44
9/7/2008	17:31	6.44
9/7/2008	17:31	6.44
9/7/2008	17:31	6.44
9/7/2008	17:32	6.44
9/7/2008	17:32	6.44
9/7/2008	17:32	6.44
9/7/2008	17:32	6.44
9/7/2008	17:32	6.44
9/7/2008	17:32	6.44
9/7/2008	17:33	6.44
9/7/2008	17:33	6.44
9/7/2008	17:33	6.44
9/7/2008	17:33	6.44
9/7/2008	17:33	6.44
9/7/2008	17:33	6.44
9/7/2008	17:34	6.44
9/7/2008	17:34	6.44
9/7/2008	17:34	6.44
9/7/2008	17:34	6.44
9/7/2008	17:34	6.44
9/7/2008	17:34	6.44
