"","Year","Survey","Leg","Site","Sex","CW","Recruit.Status","Shell.Condition","Egg.Development","Leg.Condition","Bitter","Egg.Percent","Blackmat","Latitude","Longitude","Jul.Day","Depth","Temp","temp_avg"
"62",2009,"RKC",1,"Barlow_Cove","2",99,"Mature_Female","4","Uneyed","0","0",90,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"63",2009,"RKC",1,"Barlow_Cove","2",106,"Mature_Female","4","Uneyed","1","0",100,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"64",2009,"RKC",1,"Barlow_Cove","2",96,"Mature_Female","4","Uneyed","1","0",90,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"65",2009,"RKC",1,"Barlow_Cove","2",103,"Mature_Female","4","Uneyed","1","0",80,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"66",2009,"RKC",1,"Barlow_Cove","2",107,"Mature_Female","4","Uneyed","0","0",90,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"67",2009,"RKC",1,"Barlow_Cove","2",89,"Mature_Female","4","Uneyed","1","0",100,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"68",2009,"RKC",1,"Barlow_Cove","2",101,"Mature_Female","4","Uneyed","0","0",80,"1",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"69",2009,"RKC",1,"Barlow_Cove","2",98,"Mature_Female","3","Uneyed","0","1",100,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"70",2009,"RKC",1,"Barlow_Cove","2",93,"Mature_Female","4","Uneyed","1","0",90,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"71",2009,"RKC",1,"Barlow_Cove","2",111,"Mature_Female","4","Uneyed","0","0",100,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"72",2009,"RKC",1,"Barlow_Cove","2",107,"Mature_Female","4","Uneyed","0","0",80,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"73",2009,"RKC",1,"Barlow_Cove","2",111,"Mature_Female","3","Uneyed","0","0",90,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"74",2009,"RKC",1,"Barlow_Cove","2",111,"Mature_Female","3","Uneyed","0","0",80,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"75",2009,"RKC",1,"Barlow_Cove","2",117,"Mature_Female","3","Uneyed","0","0",90,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"76",2009,"RKC",1,"Barlow_Cove","2",106,"Mature_Female","3","Uneyed","0","1",80,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"77",2009,"RKC",1,"Barlow_Cove","2",104,"Mature_Female","4","Uneyed","0","0",100,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
"78",2009,"RKC",1,"Barlow_Cove","2",104,"Mature_Female","3","Uneyed","1","1",70,"0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474
