Date	Time,Temperature  (*C)
07/27/13	17:31:13.0,5.61
07/27/13	18:31:13.0,5.61
07/27/13	19:31:13.0,5.61
07/27/13	20:31:13.0,5.61
07/27/13	21:31:13.0,5.77
07/27/13	22:31:13.0,5.77
07/27/13	23:31:13.0,5.93
07/28/13	00:31:13.0,5.77
07/28/13	01:31:13.0,5.61
07/28/13	02:31:13.0,5.61
07/28/13	03:31:13.0,5.61
07/28/13	04:31:13.0,5.61
07/28/13	05:31:13.0,5.61
07/28/13	06:31:13.0,5.61
07/28/13	07:31:13.0,5.61
07/28/13	08:31:13.0,5.61
07/28/13	09:31:13.0,15.41
07/28/13	10:31:13.0,14.93
07/28/13	11:31:13.0,14.93
07/28/13	12:31:13.0,15.57
07/28/13	13:31:13.0,16.52
07/28/13	14:31:13.0,5.46
07/28/13	15:31:13.0,5.61
07/28/13	16:31:13.0,5.61
07/28/13	17:31:13.0,5.61
07/28/13	18:31:13.0,5.61
07/28/13	19:31:13.0,5.61
07/28/13	20:31:13.0,5.61
07/28/13	21:31:13.0,5.61
07/28/13	22:31:13.0,5.61
07/28/13	23:31:13.0,5.61
07/29/13	00:31:13.0,5.61
07/29/13	01:31:13.0,5.61
07/29/13	02:31:13.0,5.61
07/29/13	03:31:13.0,5.61
07/29/13	04:31:13.0,5.61
07/29/13	05:31:13.0,5.61
07/29/13	06:31:13.0,5.61
07/29/13	07:31:13.0,5.61
07/29/13	08:31:13.0,5.61
07/29/13	09:31:13.0,18.11
07/29/13	10:31:13.0,16.52
07/29/13	11:31:13.0,15.25
07/29/13	12:31:13.0,15.25
07/29/13	13:31:13.0,16.83
07/29/13	14:31:13.0,5.61
07/29/13	15:31:13.0,5.61
07/29/13	16:31:13.0,5.61
07/29/13	17:31:13.0,5.61
07/29/13	18:31:13.0,5.61
07/29/13	19:31:13.0,5.61
07/29/13	20:31:13.0,5.61
07/29/13	21:31:13.0,5.77
07/29/13	22:31:13.0,5.61
07/29/13	23:31:13.0,5.61
07/30/13	00:31:13.0,5.61
07/30/13	01:31:13.0,5.61
07/30/13	02:31:13.0,5.61
07/30/13	03:31:13.0,5.61
07/30/13	04:31:13.0,5.61
07/30/13	05:31:13.0,5.61
07/30/13	06:31:13.0,5.61
07/30/13	07:31:13.0,5.61
07/30/13	08:31:13.0,5.61
07/30/13	09:31:13.0,18.27
07/30/13	10:31:13.0,19.08
07/30/13	11:31:13.0,14.93
07/30/13	12:31:13.0,15.57
07/30/13	13:31:13.0,16.52
07/30/13	14:31:13.0,5.93
07/30/13	15:31:13.0,5.93
07/30/13	16:31:13.0,6.08
07/30/13	17:31:13.0,6.08
07/30/13	18:31:13.0,5.93
07/30/13	19:31:13.0,5.93
07/30/13	20:31:13.0,5.93
07/30/13	21:31:13.0,5.77
07/30/13	22:31:13.0,5.77
07/30/13	23:31:13.0,5.77
07/31/13	00:31:13.0,5.77
07/31/13	01:31:13.0,5.77
07/31/13	02:31:13.0,5.77
07/31/13	03:31:13.0,5.93
07/31/13	04:31:13.0,5.93
07/31/13	05:31:13.0,6.08
07/31/13	06:31:13.0,5.93
07/31/13	07:31:13.0,5.93
07/31/13	08:31:13.0,5.93
07/31/13	09:31:13.0,17.15
07/31/13	10:31:13.0,17.63
07/31/13	11:31:13.0,18.27
07/31/13	12:31:13.0,22.17
07/31/13	13:31:13.0,18.11
07/31/13	14:31:13.0,22.67
07/31/13	15:31:13.0,23.51
07/31/13	16:31:13.0,26.79
07/31/13	17:31:13.0,25.06
07/31/13	18:31:13.0,22.17
07/31/13	19:31:13.0,21.34
07/31/13	20:31:13.0,20.04
07/31/13	21:31:13.0,18.59
07/31/13	22:31:13.0,17.95
07/31/13	23:31:13.0,16.68
08/01/13	00:31:13.0,16.04
08/01/13	01:31:13.0,15.57
08/01/13	02:31:13.0,15.25
08/01/13	03:31:13.0,14.77
08/01/13	04:31:13.0,14.46
08/01/13	05:31:13.0,13.84
08/01/13	06:31:13.0,14.93
08/01/13	07:31:13.0,20.37
08/01/13	08:31:13.0,19.72
08/01/13	09:31:13.0,20.53
08/01/13	10:31:13.0,21.68
08/01/13	11:31:13.0,23.01
08/01/13	12:31:13.0,28.39
08/01/13	13:31:13.0,25.23
08/01/13	14:31:13.0,5.77
08/01/13	15:31:13.0,5.77
08/01/13	16:31:13.0,5.77
08/01/13	17:31:13.0,5.77
08/01/13	18:31:13.0,5.77
08/01/13	19:31:13.0,5.77
08/01/13	20:31:13.0,5.77
08/01/13	21:31:13.0,5.77
08/01/13	22:31:13.0,5.77
08/01/13	23:31:13.0,5.77
08/02/13	00:31:13.0,5.77
08/02/13	01:31:13.0,5.77
08/02/13	02:31:13.0,5.93
08/02/13	03:31:13.0,5.93
08/02/13	04:31:13.0,5.77
08/02/13	05:31:13.0,5.77
08/02/13	06:31:13.0,5.77
08/02/13	07:31:13.0,5.77
08/02/13	08:31:13.0,5.77
08/02/13	09:31:13.0,15.41
08/02/13	10:31:13.0,16.83
08/02/13	11:31:13.0,16.68
08/02/13	12:31:13.0,17.79
08/02/13	13:31:13.0,18.11
08/02/13	14:31:13.0,5.30
08/02/13	15:31:13.0,5.30
08/02/13	16:31:13.0,5.30
08/02/13	17:31:13.0,5.30
08/02/13	18:31:13.0,5.30
08/02/13	19:31:13.0,5.30
08/02/13	20:31:13.0,5.30
08/02/13	21:31:13.0,5.30
08/02/13	22:31:13.0,5.30
08/02/13	23:31:13.0,5.30
08/03/13	00:31:13.0,5.30
08/03/13	01:31:13.0,5.30
08/03/13	02:31:13.0,5.30
08/03/13	03:31:13.0,5.30
08/03/13	04:31:13.0,5.30
08/03/13	05:31:13.0,5.30
08/03/13	06:31:13.0,5.30
08/03/13	07:31:13.0,5.30
08/03/13	08:31:13.0,5.30
08/03/13	09:31:13.0,17.15
08/03/13	10:31:13.0,16.99
08/03/13	11:31:13.0,16.99
08/03/13	12:31:13.0,16.99
08/03/13	13:31:13.0,17.15
08/03/13	14:31:13.0,18.59
08/03/13	15:31:13.0,19.40
08/03/13	16:31:13.0,6.24
08/03/13	17:31:13.0,6.24
08/03/13	18:31:13.0,5.77
08/03/13	19:31:13.0,5.46
08/03/13	20:31:13.0,5.30
08/03/13	21:31:13.0,5.30
08/03/13	22:31:13.0,5.30
08/03/13	23:31:13.0,5.46
08/04/13	00:31:13.0,5.61
08/04/13	01:31:13.0,5.93
08/04/13	02:31:13.0,6.24
08/04/13	03:31:13.0,5.93
08/04/13	04:31:13.0,5.93
08/04/13	05:31:13.0,6.08
08/04/13	06:31:13.0,6.24
08/04/13	07:31:13.0,5.30
08/04/13	08:31:13.0,5.30
08/04/13	09:31:13.0,5.30
08/04/13	10:31:13.0,11.83
08/04/13	11:31:13.0,12.45
08/04/13	12:31:13.0,9.97
08/04/13	13:31:13.0,5.30
08/04/13	14:31:13.0,5.46
08/04/13	15:31:13.0,5.46
08/04/13	16:31:13.0,5.61
08/04/13	17:31:13.0,5.30
08/04/13	18:31:13.0,5.30
08/04/13	19:31:13.0,5.30
08/04/13	20:31:13.0,5.30
08/04/13	21:31:13.0,5.30
08/04/13	22:31:13.0,5.30
08/04/13	23:31:13.0,5.30
08/05/13	00:31:13.0,5.30
08/05/13	01:31:13.0,5.30
08/05/13	02:31:13.0,5.46
08/05/13	03:31:13.0,5.77
08/05/13	04:31:13.0,5.77
08/05/13	05:31:13.0,5.30
08/05/13	06:31:13.0,5.30
08/05/13	07:31:13.0,9.65
